id,supplier,item,description,cost,status,date,product_key_manual,supplier_norm,text_norm,text_norm_compact,matched_key,product_id,product_name,vendor_name,confidence,method
REQ22363,Wiz Inc,MS 365 E5 + Zscaler IA,"Annual renewal and capacity expansion of Microsft 365 E5 for Americas teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Cisco FP2K licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",214671.42,ORDERED,21/04/2023,,wiz inc,"wiz inc ms 365 e5 + zscaler ia annual renewal and capacity expansion of microsft 365 e5 for americas teams is required to maintain defensive posture. this transaction via wiz inc also bundles cisco fp2k licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q2 following testing in staging environments.","wizincms365e5+zscaleriaannualrenewalandcapacityexpansionofmicrosft365e5foramericasteamsisrequiredtomaintaindefensiveposture.thistransactionviawizincalsobundlesciscofp2klicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq2followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ34050,CrowdStrike Inc,Tanium + WizCld + CrowdStrike Falcon,"Procurement of Tanium Endpoint is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with CrowdStrike EDR to improve overall coverage in APAC.",30041.22,DRAFT,11/07/2023,,crowdstrike inc,"crowdstrike inc tanium + wizcld + crowdstrike falcon procurement of tanium endpoint is being prioritised under the fy23 budget allocation for security enhancements. the acquisition, handled through crowdstrike inc, addresses critical gaps identified in the last compliance audit. the package will also integrate with crowdstrike edr to improve overall coverage in apac.","crowdstrikeinctanium+wizcld+crowdstrikefalconprocurementoftaniumendpointisbeingprioritisedunderthefy23budgetallocationforsecurityenhancements.theacquisition,handledthroughcrowdstrikeinc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithcrowdstrikeedrtoimproveoverallcoverageinapac.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,high,keyword+vendor
REQ61173,Wiz Inc,Zscaler IA + Wiz Cl0ud + Cisco FP2K,"Annual renewal and capacity expansion of Zscaler Internet Access for APAC teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Microsft 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",81624.43,CANCELLED,21/03/2024,,wiz inc,"wiz inc zscaler ia + wiz cl0ud + cisco fp2k annual renewal and capacity expansion of zscaler internet access for apac teams is required to maintain defensive posture. this transaction via wiz inc also bundles microsft 365 e5 licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q2 following testing in staging environments.","wizinczscaleria+wizcl0ud+ciscofp2kannualrenewalandcapacityexpansionofzscalerinternetaccessforapacteamsisrequiredtomaintaindefensiveposture.thistransactionviawizincalsobundlesmicrosft365e5licenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq2followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ20500,Microsoft Corp,M i c r o s o f t 3 6 5 E5 + CrowdStrike Falcon,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",339230.21,PENDING,06/04/2025,,microsoft corp,"microsoft corp m i c r o s o f t 3 6 5 e5 + crowdstrike falcon following the results of our latest vulnerability assessment, we are initiating the procurement of m i c r o s o f t 3 6 5 e5 to replace outdated solutions currently deployed across emea operations. this request, coordinated via microsoft corp, is part of our broader cyber resilience program. additionally, this order includes partial licensing for tanium to enhance layered security and comply with internal audit requirements.","microsoftcorpmicrosoft365e5+crowdstrikefalconfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofmicrosoft365e5toreplaceoutdatedsolutionscurrentlydeployedacrossemeaoperations.thisrequest,coordinatedviamicrosoftcorp,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingfortaniumtoenhancelayeredsecurityandcomplywithinternalauditrequirements.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ51467,Wiz Inc,Microsft 365 E5 + Firepower 2K series + WizCld,"As part of our cloud security strategy, the acquisition of M i c r o s o f t 3 6 5 E5 is being processed via Wiz Inc. This initiative includes additional modules for Z$caler IA, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",69784.75,CANCELLED,25/07/2025,,wiz inc,"wiz inc microsft 365 e5 + firepower 2k series + wizcld as part of our cloud security strategy, the acquisition of m i c r o s o f t 3 6 5 e5 is being processed via wiz inc. this initiative includes additional modules for z$caler ia, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","wizincmicrosft365e5+firepower2kseries+wizcldaspartofourcloudsecuritystrategy,theacquisitionofmicrosoft365e5isbeingprocessedviawizinc.thisinitiativeincludesadditionalmodulesforz$caleria,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",,,,,low,fallback
REQ42018,CrowdStrike Inc,Cisco FP2K + Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Cisco Firepower 2000 Series. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cloud and ensure coverage for 126 users in APAC. Budget reallocation approved by the CISO on 2025-11-02.",307780.49,DRAFT,05/09/2024,,crowdstrike inc,"crowdstrike inc cisco fp2k + wiz cl0ud + cs falcon in response to recent threat intelligence reports, it security has recommended immediate onboarding of cisco firepower 2000 series. this purchase, processed via crowdstrike inc, will complement our existing deployment of wiz cloud and ensure coverage for 126 users in apac. budget reallocation approved by the ciso on 2025-11-02.","crowdstrikeincciscofp2k+wizcl0ud+csfalconinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofciscofirepower2000series.thispurchase,processedviacrowdstrikeinc,willcomplementourexistingdeploymentofwizcloudandensurecoveragefor126usersinapac.budgetreallocationapprovedbythecisoon20251102.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ93130,CrowdStrike Inc,Tanium Endpoint + Wiz Defend + Wiz Cloud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Cisco FP-2100 and ensure coverage for 1150 users in APAC. Budget reallocation approved by the CISO on 2024-07-11.",318970.8,CANCELLED,01/04/2023,,crowdstrike inc,"crowdstrike inc tanium endpoint + wiz defend + wiz cloud in response to recent threat intelligence reports, it security has recommended immediate onboarding of tanium. this purchase, processed via crowdstrike inc, will complement our existing deployment of cisco fp-2100 and ensure coverage for 1150 users in apac. budget reallocation approved by the ciso on 2024-07-11.","crowdstrikeinctaniumendpoint+wizdefend+wizcloudinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftanium.thispurchase,processedviacrowdstrikeinc,willcomplementourexistingdeploymentofciscofp2100andensurecoveragefor1150usersinapac.budgetreallocationapprovedbythecisoon20240711.",wiz defend,PROD005,Wiz Defend,Wiz,medium,keyword
REQ29536,Zscaler Inc,M i c r o s o f t 3 6 5 E5 + Wiz Cl0ud,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Microsoft E5 to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Zscaler Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",78306.42,PENDING,27/03/2023,,zscaler inc,"zscaler inc m i c r o s o f t 3 6 5 e5 + wiz cl0ud following the results of our latest vulnerability assessment, we are initiating the procurement of microsoft e5 to replace outdated solutions currently deployed across americas operations. this request, coordinated via zscaler inc, is part of our broader cyber resilience program. additionally, this order includes partial licensing for tanium to enhance layered security and comply with internal audit requirements.","zscalerincmicrosoft365e5+wizcl0udfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofmicrosofte5toreplaceoutdatedsolutionscurrentlydeployedacrossamericasoperations.thisrequest,coordinatedviazscalerinc,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingfortaniumtoenhancelayeredsecurityandcomplywithinternalauditrequirements.",,,,,low,fallback
REQ41029,Zscaler Inc,Cisco FP2K + CrowdStrike Falcon,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via Zscaler Inc also bundles Wiz Cl0ud licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",93783.53,CANCELLED,23/04/2025,,zscaler inc,"zscaler inc cisco fp2k + crowdstrike falcon annual renewal and capacity expansion of cisco fp-2100 for apac teams is required to maintain defensive posture. this transaction via zscaler inc also bundles wiz cl0ud licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q2 following testing in staging environments.","zscalerincciscofp2k+crowdstrikefalconannualrenewalandcapacityexpansionofciscofp2100forapacteamsisrequiredtomaintaindefensiveposture.thistransactionviazscalerincalsobundleswizcl0udlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq2followingtestinginstagingenvironments.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ50001,Wiz Inc,Zscaler Internet Access + Crowdstrik Flacon,"Annual renewal and capacity expansion of Zscaler IA for EMEA teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",202240.66,CANCELLED,23/05/2023,,wiz inc,"wiz inc zscaler internet access + crowdstrik flacon annual renewal and capacity expansion of zscaler ia for emea teams is required to maintain defensive posture. this transaction via wiz inc also bundles crowdstrik flacon licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q1 following testing in staging environments.","wizinczscalerinternetaccess+crowdstrikflaconannualrenewalandcapacityexpansionofzscaleriaforemeateamsisrequiredtomaintaindefensiveposture.thistransactionviawizincalsobundlescrowdstrikflaconlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq1followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ44795,Tanium Inc,Z$caler IA + MS 365 E5,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",176115.12,CANCELLED,12/06/2025,,tanium inc,"tanium inc z$caler ia + ms 365 e5 procurement of z$caler ia is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through tanium inc, addresses critical gaps identified in the last compliance audit. the package will also integrate with o365 e5 to improve overall coverage in americas.","taniumincz$caleria+ms365e5procurementofz$caleriaisbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughtaniuminc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewitho365e5toimproveoverallcoverageinamericas.",,,,,low,fallback
REQ97900,CrowdStrike Inc,WizDefnd + Cisco Firepower 2000 Series,"As part of our cloud security strategy, the acquisition of Wiz Defnd is being processed via CrowdStrike Inc. This initiative includes additional modules for M i c r o s o f t 3 6 5 E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",474692.87,CANCELLED,04/10/2024,,crowdstrike inc,"crowdstrike inc wizdefnd + cisco firepower 2000 series as part of our cloud security strategy, the acquisition of wiz defnd is being processed via crowdstrike inc. this initiative includes additional modules for m i c r o s o f t 3 6 5 e5, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","crowdstrikeincwizdefnd+ciscofirepower2000seriesaspartofourcloudsecuritystrategy,theacquisitionofwizdefndisbeingprocessedviacrowdstrikeinc.thisinitiativeincludesadditionalmodulesformicrosoft365e5,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ26683,CrowdStrike Inc,TaniumMgmt + WizCld,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2510 users in Americas. Budget reallocation approved by the CISO on 2024-10-30.",340272.38,PENDING,08/09/2024,,crowdstrike inc,"crowdstrike inc taniummgmt + wizcld in response to recent threat intelligence reports, it security has recommended immediate onboarding of taniummgmt. this purchase, processed via crowdstrike inc, will complement our existing deployment of wiz cl0ud and ensure coverage for 2510 users in americas. budget reallocation approved by the ciso on 2024-10-30.","crowdstrikeinctaniummgmt+wizcldinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftaniummgmt.thispurchase,processedviacrowdstrikeinc,willcomplementourexistingdeploymentofwizcl0udandensurecoveragefor2510usersinamericas.budgetreallocationapprovedbythecisoon20241030.",,,,,low,fallback
REQ72021,Microsoft Corp,Wiz Cloud + Zscaler IA,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Microsoft Corp, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in APAC.",260148.74,CANCELLED,11/07/2023,,microsoft corp,"microsoft corp wiz cloud + zscaler ia procurement of wiz cl0ud is being prioritised under the fy24 budget allocation for security enhancements. the acquisition, handled through microsoft corp, addresses critical gaps identified in the last compliance audit. the package will also integrate with wizdefnd to improve overall coverage in apac.","microsoftcorpwizcloud+zscaleriaprocurementofwizcl0udisbeingprioritisedunderthefy24budgetallocationforsecurityenhancements.theacquisition,handledthroughmicrosoftcorp,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithwizdefndtoimproveoverallcoverageinapac.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ69692,Wiz Inc,Zscaler Internet Access + TaniumMgmt + Wiz Defnd,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Wiz Inc. This initiative includes additional modules for CrowdStrike EDR, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",195069.34,ORDERED,14/05/2024,,wiz inc,"wiz inc zscaler internet access + taniummgmt + wiz defnd as part of our cloud security strategy, the acquisition of zscaler internet access is being processed via wiz inc. this initiative includes additional modules for crowdstrike edr, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","wizinczscalerinternetaccess+taniummgmt+wizdefndaspartofourcloudsecuritystrategy,theacquisitionofzscalerinternetaccessisbeingprocessedviawizinc.thisinitiativeincludesadditionalmodulesforcrowdstrikeedr,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",zscaler internet access,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ27477,Microsoft Corp,CS Falcon + Zscaler IA + TaniumMgmt,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",408428.22,ORDERED,02/07/2025,,microsoft corp,"microsoft corp cs falcon + zscaler ia + taniummgmt following the results of our latest vulnerability assessment, we are initiating the procurement of crowdstrike edr to replace outdated solutions currently deployed across apac operations. this request, coordinated via microsoft corp, is part of our broader cyber resilience program. additionally, this order includes partial licensing for tanium to enhance layered security and comply with internal audit requirements.","microsoftcorpcsfalcon+zscaleria+taniummgmtfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofcrowdstrikeedrtoreplaceoutdatedsolutionscurrentlydeployedacrossapacoperations.thisrequest,coordinatedviamicrosoftcorp,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingfortaniumtoenhancelayeredsecurityandcomplywithinternalauditrequirements.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ67654,WWT,CS Falcon + Zscaler Internet Access,"Procurement of CS Falcon is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Wiz Defnd to improve overall coverage in APAC.",139498.98,CANCELLED,15/06/2023,,wwt,"wwt cs falcon + zscaler internet access procurement of cs falcon is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through wwt, addresses critical gaps identified in the last compliance audit. the package will also integrate with wiz defnd to improve overall coverage in apac.","wwtcsfalcon+zscalerinternetaccessprocurementofcsfalconisbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughwwt,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithwizdefndtoimproveoverallcoverageinapac.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ64496,Cisco Systems,CrowdStrike EDR + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of CrowdStrike EDR. This purchase, processed via Cisco Systems, will complement our existing deployment of WizDefnd and ensure coverage for 1944 users in APAC. Budget reallocation approved by the CISO on 2023-05-12.",452895.05,DRAFT,18/02/2025,,cisco systems,"cisco systems crowdstrike edr + cisco fp2k in response to recent threat intelligence reports, it security has recommended immediate onboarding of crowdstrike edr. this purchase, processed via cisco systems, will complement our existing deployment of wizdefnd and ensure coverage for 1944 users in apac. budget reallocation approved by the ciso on 2023-05-12.","ciscosystemscrowdstrikeedr+ciscofp2kinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofcrowdstrikeedr.thispurchase,processedviaciscosystems,willcomplementourexistingdeploymentofwizdefndandensurecoveragefor1944usersinapac.budgetreallocationapprovedbythecisoon20230512.",,,,,low,fallback
